Last Plane Out,Jan-Michael Vincent
Cross Country,Richard Beymer
A Polish Vampire in Burbank,Mark Pirro
Forever Young,James Aubrey
The Golden Seal,Steve Railsback
The Business of Show Business,
The Terminator,Arnold Schwarzenegger
Dune,Kyle MacLachlan
Ghostbusters,Bill Murray
The Karate Kid,Ralph Macchio
Once Upon a Time in America,Robert De Niro
Police Academy,Steve Guttenberg
Indiana Jones and the Temple of Doom,Harrison Ford
Body Double,Craig Wasson
A Nightmare on Elm Street,Heather Langenkamp
Amadeus,F. Murray Abraham
Beverly Hills Cop,Eddie Murphy
Red Dawn,Patrick Swayze
The NeverEnding Story,Noah Hathaway
Footloose,Kevin Bacon
Revenge of the Nerds,Robert Carradine
Gremlins,Zach Galligan
Romancing the Stone,Michael Douglas
Streets of Fire,Michael Paré
Sixteen Candles,Molly Ringwald
